platform,run_id,condition,direction,requests,successful_requests,failed_requests,hvc_attempts,retries,busy_returns,again_returns,other_errors,first_try_success_rate,p50_us,p99_us,p999_us,max_us,completion_p99_us,completion_max_us
RK3588,run-025,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,282.041,295.75,280.583,295.75
RK3588,run-025,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,53.958,42.875,53.958
RK3588,run-026,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,282.625,293.416,280.583,293.416
RK3588,run-026,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,45.5,54.833,42.875,54.833
RK3588,run-027,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.875,283.791,293.708,280.875,293.708
RK3588,run-027,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,52.791,42.875,52.791
RK3588,run-028,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,283.208,308.875,280.583,308.875
RK3588,run-028,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,43.166,45.791,54.541,43.166,54.541
RK3588,run-029,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,282.916,294.875,280.583,294.875
RK3588,run-029,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,51.625,42.875,51.625
RK3588,run-030,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.875,282.333,296.333,280.875,296.333
RK3588,run-030,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,52.208,42.875,52.208
